name,date,value
PS,2016,1460000
Wii,2016,1360000
PSP,2016,1320000
2600,2016,1300000
2600,2016,1250000
PS2,2016,1220000
XB,2016,1190000
PS2,2016,1110000
PS,2016,1040000
GB,2016,1030000
X360,2016,990000
2600,2016,980000
PS2,2016,980000
PS3,2016,970000
PS3,2016,970000
PS2,2016,950000
XB,2016,910000
Wii,2016,900000
PS3,2016,860000
X360,2016,860000
PSP,2016,830000
PS2,2016,830000
X360,2016,820000
PSP,2016,800000
Wii,2016,740000
GBA,2016,740000
DS,2016,720000
X360,2016,690000
GBA,2016,670000
PS3,2016,640000
PS2,2016,630000
DS,2016,630000
XB,2016,620000
Wii,2016,600000
X360,2016,590000
PS2,2016,580000
XB,2016,580000
XB,2016,540000
GC,2016,540000
2600,2016,510000
X360,2016,500000
PS3,2016,480000
2600,2016,470000
Wii,2016,470000
2600,2016,460000
XB,2016,450000
2600,2016,450000
X360,2016,450000
2600,2016,440000
X360,2016,440000
Wii,2016,430000
PC,2016,410000
3DS,2016,400000
PS2,2016,400000
PS3,2016,400000
PS2,2016,400000
PS3,2016,390000
2600,2016,380000
PSP,2016,380000
XB,2016,360000
DS,2016,360000
GBA,2016,360000
X360,2016,360000
PC,2016,360000
Wii,2016,350000
N64,2016,330000
PS2,2016,320000
X360,2016,320000
2600,2016,320000
PS2,2016,320000
XB,2016,310000
2600,2016,310000
DS,2016,300000
PS,2016,300000
PSV,2016,300000
GC,2016,300000
3DS,2016,300000
GC,2016,290000
PS2,2016,280000
XB,2016,280000
GC,2016,280000
GC,2016,280000
GBA,2016,270000
2600,2016,270000
X360,2016,270000
2600,2016,270000
PSP,2016,270000
PS3,2016,270000
PS3,2016,260000
PS2,2016,250000
PS2,2016,240000
PC,2016,240000
PS3,2016,240000
PSP,2016,240000
Wii,2016,240000
Wii,2016,240000
Wii,2016,230000
PS2,2016,230000
PS2,2016,230000
PS3,2016,220000
PC,2016,220000
2600,2016,210000
2600,2016,210000
XB,2016,210000
PSP,2016,210000
PS3,2016,210000
N64,2016,200000
PC,2016,200000
PC,2016,200000
3DS,2016,190000
X360,2016,190000
Wii,2016,180000
X360,2016,180000
PS,2016,180000
X360,2016,180000
PS2,2016,180000
GBA,2016,170000
PS3,2016,170000
PS2,2016,170000
PS2,2016,170000
PS3,2016,170000
PS,2016,160000
Wii,2016,160000
X360,2016,160000
2600,2016,150000
PS2,2016,150000
XB,2016,150000
Wii,2016,140000
N64,2016,140000
PS3,2016,140000
X360,2016,140000
GBA,2016,140000
XB,2016,130000
PC,2016,130000
GC,2016,130000
DS,2016,120000
X360,2016,120000
PS3,2016,120000
PSP,2016,120000
PS2,2016,120000
GC,2016,120000
XB,2016,120000
DS,2016,120000
PC,2016,120000
PSP,2016,120000
DS,2016,120000
PS2,2016,110000
GC,2016,110000
Wii,2016,110000
PS3,2016,100000
DS,2016,100000
DS,2016,100000
X360,2016,100000
DS,2016,100000
Wii,2016,100000
DS,2016,90000
PSP,2016,90000
PS,2016,90000
GBA,2016,90000
Wii,2016,90000
DS,2016,80000
X360,2016,80000
3DS,2016,80000
Wii,2016,80000
3DS,2016,80000
Wii,2016,80000
PC,2016,80000
DS,2016,70000
GC,2016,70000
3DS,2016,70000
DS,2016,70000
XB,2016,70000
PS3,2016,70000
Wii,2016,70000
DS,2016,70000
X360,2016,70000
XB,2016,70000
X360,2016,70000
X360,2016,70000
DS,2016,60000
DS,2016,60000
PSP,2016,60000
Wii,2016,60000
Wii,2016,60000
X360,2016,60000
XB,2016,60000
DS,2016,60000
DS,2016,50000
Wii,2016,50000
PS2,2016,50000
X360,2016,50000
GBA,2016,50000
PS3,2016,50000
PS3,2016,50000
PS3,2016,50000
PC,2016,40000
PC,2016,40000
PS,2016,40000
Wii,2016,40000
GC,2016,40000
PS2,2016,40000
X360,2016,40000
Wii,2016,40000
PSP,2016,40000
PC,2016,40000
PSP,2016,30000
GBA,2016,30000
3DS,2016,30000
DS,2016,30000
X360,2016,30000
PSP,2016,30000
PS2,2016,30000
PC,2016,30000
XB,2016,30000
DS,2016,30000
XB,2016,30000
Wii,2016,30000
GC,2016,20000
PS3,2016,20000
Wii,2016,20000
PSP,2016,20000
Wii,2016,20000
Wii,2016,20000
DS,2016,20000
3DS,2016,20000
DS,2016,20000
Wii,2016,20000
PS2,2016,20000
DS,2016,20000
PS2,2016,20000
DS,2016,20000
XB,2016,20000
X360,2016,20000
Wii,2016,20000
DS,2016,20000
GC,2016,20000
Wii,2016,20000
DS,2016,20000
DS,2016,20000
PSP,2016,10000
PC,2016,10000
XB,2016,10000
PC,2016,10000
DS,2016,10000
X360,2016,10000
PS3,2016,10000
GC,2016,10000
PC,2016,10000
PS3,2016,10000
GC,2016,10000
3DS,2016,10000
DS,2016,290000
PS4,2016,30000
PSV,2016,10000
PSV,2016,10000
PS4,2016,4770000
PS4,2016,4200000
PS4,2016,3610000
PS4,2016,2130000
XOne,2016,2010000
PS4,2016,1730000
PS4,2016,1600000
PS4,2016,1560000
XOne,2016,1530000
PS4,2016,1390000
3DS,2016,1270000
PS4,2016,1230000
PS4,2016,1190000
PS4,2016,1170000
PS4,2016,1060000
WiiU,2016,940000
WiiU,2016,930000
PS4,2016,890000
XOne,2016,850000
XOne,2016,850000
3DS,2016,850000
PS4,2016,840000
XOne,2016,820000
PS4,2016,820000
XOne,2016,680000
XOne,2016,640000
PS4,2016,640000
3DS,2016,630000
3DS,2016,550000
PS4,2016,540000
XOne,2016,510000
3DS,2016,460000
PS4,2016,450000
XOne,2016,440000
PC,2016,430000
WiiU,2016,430000
3DS,2016,420000
XOne,2016,400000
XOne,2016,380000
PS3,2016,380000
PS4,2016,370000
PC,2016,370000
PS4,2016,360000
XOne,2016,350000
WiiU,2016,350000
X360,2016,340000
PS4,2016,340000
PS4,2016,330000
XOne,2016,320000
PS4,2016,320000
PS4,2016,320000
PS4,2016,320000
PS3,2016,320000
PS4,2016,310000
PS4,2016,300000
PSV,2016,300000
PC,2016,290000
PS4,2016,280000
PS4,2016,280000
XOne,2016,280000
PS4,2016,280000
PS4,2016,280000
PS4,2016,270000
3DS,2016,270000
WiiU,2016,260000
XOne,2016,240000
WiiU,2016,230000
PSV,2016,230000
PSV,2016,230000
PS4,2016,230000
PS4,2016,220000
PS4,2016,220000
PS4,2016,220000
PS4,2016,200000
PC,2016,200000
PS4,2016,200000
PS4,2016,200000
3DS,2016,200000
3DS,2016,200000
3DS,2016,190000
PSV,2016,190000
PS4,2016,190000
3DS,2016,180000
PS4,2016,180000
PC,2016,180000
X360,2016,180000
PSV,2016,170000
3DS,2016,170000
PS4,2016,170000
PS4,2016,170000
3DS,2016,170000
PS3,2015,160000
PS4,2015,160000
XOne,2015,150000
XOne,2015,150000
PSV,2015,150000
XOne,2015,150000
PC,2015,140000
PSV,2015,130000
PS3,2015,130000
XOne,2015,130000
PS3,2015,120000
XOne,2015,120000
XOne,2015,120000
PSV,2015,120000
PS4,2015,120000
PSV,2015,120000
PSV,2015,120000
PS3,2015,120000
3DS,2015,120000
PS3,2015,120000
PS4,2015,120000
XOne,2015,110000
PS3,2015,110000
XOne,2015,110000
PS3,2015,110000
PS3,2015,110000
PSV,2015,110000
PS4,2015,110000
X360,2015,110000
PSV,2015,110000
PC,2015,100000
PC,2015,100000
PS3,2015,100000
XOne,2015,100000
3DS,2015,90000
PS4,2015,90000
PS4,2015,90000
PSV,2015,90000
PSV,2015,90000
PS4,2015,90000
3DS,2015,90000
PS4,2015,90000
XOne,2015,90000
WiiU,2015,90000
PSV,2015,90000
PS4,2015,80000
PS4,2015,80000
XOne,2015,80000
X360,2015,80000
PS4,2015,80000
3DS,2015,80000
PS3,2015,80000
PS4,2015,70000
XOne,2015,70000
PS4,2015,70000
PS4,2015,70000
PC,2015,70000
PS3,2015,70000
PS4,2015,70000
3DS,2015,70000
PS4,2015,60000
PS4,2015,60000
PS3,2015,60000
3DS,2015,60000
PSV,2015,60000
PS3,2015,60000
PS4,2015,60000
PS3,2015,60000
XOne,2015,60000
PSV,2015,60000
3DS,2015,60000
PS3,2015,60000
PS4,2015,60000
3DS,2015,60000
PS4,2015,50000
X360,2015,50000
PC,2015,50000
PSV,2015,50000
PS4,2015,50000
PS3,2015,50000
PSV,2015,50000
PC,2015,50000
3DS,2015,50000
PS4,2015,50000
PSV,2015,50000
PS4,2015,50000
PC,2015,50000
PSV,2015,50000
PS4,2015,50000
PC,2015,50000
PS4,2015,50000
XOne,2015,50000
PS3,2015,50000
PSV,2015,50000
PS4,2015,50000
PC,2015,50000
PS4,2015,40000
XOne,2015,40000
PS3,2015,40000
PS4,2015,40000
XOne,2015,40000
PC,2015,40000
3DS,2015,40000
PSV,2015,40000
PS4,2015,40000
PS3,2015,40000
PS4,2015,40000
XOne,2015,40000
PS4,2015,40000
XOne,2015,40000
PS3,2015,40000
3DS,2015,40000
PSV,2015,40000
XOne,2015,40000
PS4,2015,40000
PS4,2015,40000
PSV,2015,40000
XOne,2015,40000
3DS,2015,40000
XOne,2015,40000
3DS,2015,40000
PSV,2015,40000
PS4,2015,40000
PS4,2015,30000
PS3,2015,30000
XOne,2015,30000
PSV,2015,30000
PS4,2015,30000
3DS,2015,30000
3DS,2015,30000
PSV,2015,30000
PC,2015,30000
PS4,2015,30000
PSV,2015,30000
X360,2015,30000
PC,2015,30000
PC,2015,30000
XOne,2015,30000
3DS,2015,30000
3DS,2015,30000
PC,2015,30000
PSV,2015,30000
PS4,2015,30000
PSV,2015,30000
PS3,2015,30000
XOne,2015,30000
PC,2015,30000
3DS,2015,30000
PS4,2015,30000
WiiU,2015,30000
PSV,2015,30000
PS4,2015,30000
PSV,2015,20000
XOne,2015,20000
PS3,2015,20000
PC,2015,20000
3DS,2015,20000
X360,2015,20000
PSV,2015,20000
PS3,2015,20000
PS4,2015,20000
XOne,2015,20000
PSV,2015,20000
PS4,2015,20000
PSV,2015,20000
PC,2015,20000
PS4,2015,20000
PSV,2015,20000
XOne,2015,20000
PSV,2015,20000
PSV,2015,20000
PC,2015,20000
PS4,2015,20000
PC,2015,20000
XOne,2015,20000
PSV,2015,20000
PS4,2015,20000
PSV,2015,20000
PS4,2015,20000
PC,2015,20000
PC,2015,20000
PC,2015,20000
PS4,2015,20000
WiiU,2015,20000
PC,2015,20000
PS4,2015,20000
PS4,2015,20000
PSV,2015,20000
PS3,2015,20000
PSV,2015,20000
PS3,2015,20000
PS3,2015,20000
PS3,2015,20000
PC,2015,20000
PS4,2015,20000
PS4,2015,20000
PSV,2015,20000
XOne,2015,20000
PC,2015,20000
PSV,2015,20000
XOne,2015,20000
X360,2015,20000
PS4,2015,20000
PSV,2015,20000
PSV,2015,20000
PS4,2015,20000
PS4,2015,20000
PSV,2015,20000
PS4,2015,20000
PSV,2015,10000
3DS,2015,10000
3DS,2015,10000
PS4,2015,10000
PSV,2015,10000
PSV,2015,10000
PS3,2015,10000
PS4,2015,10000
PC,2015,10000
PS4,2015,10000
PSV,2015,10000
PS4,2015,10000
PS4,2015,10000
PSV,2015,10000
PS4,2015,10000
XOne,2015,10000
PSV,2015,10000
PSV,2015,10000
PS3,2015,10000
PC,2015,10000
WiiU,2015,10000
